Id,Review
10,"Room wasn't ready when promised. System didn't send a receipt as promised. When I called and asked for a receipt, I was sent an unreadable file. When I complained, no one cared. Horrible customer service"
50,"Location of the hotel was excellent an within several ways of transportation. The Trolley stop is across street and you can ride it all day for $3.00 per person. Hotel was beautiful and clean..Fulton Street right outside the hotel I believe most establishments are owned by Harrahs, restaurants and bars with a great outside place to sit for dinner or have coffee/drinks at night. Casino is located on Fulton Street along with the garage elevators. The only thing I wish the hotel had would be a pool! Casino has many offerings for food and drinks. We had comp rooms, so not sure how much the hotel is. I didn't like how the Diamond club works now, however it really didn't affect us as we wanted to experience the culture and food in NOLA. Restaurants were within walking area, or…"
50,"Very nice property. The rooms are spacious, nicely decorated and clean. The service in the whole hotel was impeccable. I dined at Ruth Chris while I was there and it was amazing. I definitely will visit this property in the future."
50,"The front desk staff at the hotel are so friendly and helpful, concierge staff were very helpful in getting discount coupons for area tours and information. Food, food, food, what ever you wish to eat, it is available...from Nathans Hot dogs to steaks and seafood. The Thanksgiving buffet was delicious and a great variety from the traditional (smoked and baked turkey) to oysters and shrimp ( fried and peel and eat). Again, I can not say enough good things about the staff...from the valet parking, slot attendants, and casino hostess."
50,"Lovely spacious room on the 25th Floor with a beautiful view of the Mississippi River. The hotel is in a prime location within walking distance to the River Walk shopping area, Aquarium of the Americas and other interests. Located on the streetcar line for easy transportation. The hotel meets all your needs for dining, from a large buffet to quick snacks, deli , upscale steakhouse and Starbucks coffee (and more)! The casino has a large variety of slot machines and table games with a upbeat vibe. I always choose Harrah's for a great New Orleans fun time! And most of all the staff is superior!!"
30,"the room was great. love going to New Orleans we go about every other month. like going to the casino. it is always a great time, the bars ,partys ,and the different people. It is a short trip about two hours from where we live"
50,"As always we had a wonderful time. The Hotel is state of the art, the employees are friendly and knowledgeable. The Hotel is in close proximity to the French quarter & other sites, exhibits & restaurants."
10,Book online they will tell u there sold out if u walk in asking for room and will not direct to another source. Management would not come out to speak and didn't care to even tell me to check online for rooms.
50,"It was a trip of ""Get Away!"" Took a stroll to ""Mothers"" for breakfast; enjoyed the sites of NO! The weather was perfect!!!!!!! The hotel was beautiful and preparing for Christmas as they were putting the Gingerbread House, etc."
30,people at hotel are amazing friendly and will help you as fast as they can. Property is nice only issue was beds were terrible and need to be replaced very clos to local restaraunts and attractions like the WWII museum
